Objective function:  1e+50 10 31 1e+50
Objective function:  53.547431800000005 5 31 55.3474318
Objective function:  53.547431800000005 11 33 55.74743180000001
Objective function:  53.547431800000005 9 36 55.797431800000005
Objective function:  53.547431800000005 7 45 56.14743180000001
Objective function:  40.121124599999995 7 40 42.471124599999996
Objective function:  1e+50 7 56 1e+50
Objective function:  5.2322576000000005 4 44 7.632257600000001
Objective function:  53.547431800000005 7 44 56.0974318
Objective function:  0.7008890999999999 4 49 3.3508891000000003
Objective function:  3e+49 11 48 3e+49
Objective function:  53.547431800000005 7 65 57.14743180000001
Objective function:  0.7913586 7 36 2.9413586
Objective function:  1.5094074000000002 7 37 3.7094074000000004
Objective function:  1.0000000000000001e+49 6 57 1.0000000000000001e+49
Objective function:  2.0209047 6 34 4.0209047
Objective function:  1.6867711 3 46 4.136771100000001
Objective function:  1.5021969000000002 9 35 3.7021969000000006
Objective function:  1.6157769000000002 7 33 3.6157769
Objective function:  40.121124599999995 6 31 41.971124599999996
Objective function:  53.547431800000005 6 35 55.5974318
Objective function:  53.547431800000005 3 35 55.447431800000004
Objective function:  53.547431800000005 5 40 55.797431800000005
Objective function:  1e+50 7 35 1e+50
Objective function:  1.5298658 8 57 4.7798658
Objective function:  1.5036812 7 44 4.0536812
Objective function:  0.8062767 12 23 2.5562766999999997
Objective function:  1.5085797 7 46 4.158579700000001
Objective function:  1.5032297999999997 8 40 3.9032298
Objective function:  1.0000000000000001e+49 7 49 1.0000000000000001e+49
Objective function:  2.0000000000000002e+49 6 39 2.0000000000000002e+49
Objective function:  2.4587442 4 51 5.2087442
Objective function:  1.1709410999999998 8 38 3.4709411
Objective function:  53.547431800000005 4 40 55.74743180000001
Objective function:  53.547431800000005 8 42 56.047431800000005
Objective function:  1.5514532 6 42 3.9514532000000004
Objective function:  1.4672835 4 30 3.1672835
Objective function:  1.9541395000000001 5 43 4.3541395000000005
Objective function:  1.5009328 13 31 3.7009328000000004
Objective function:  83.4511698 3 41 85.6511698
Objective function:  1.6528815000000001 7 47 4.3528815000000005
Objective function:  1.0000000000000001e+49 10 51 1.0000000000000001e+49
Objective function:  1.5074857 10 39 3.9574857000000003
Objective function:  1.5705167000000002 7 25 3.1705167000000003
Objective function:  4.0000000000000003e+49 8 45 4.0000000000000003e+49
Objective function:  0.7353065 2 65 4.0853065
Objective function:  0.8511159999999999 5 32 2.701116
